País,Probe,Teste
Kenya,Probe 6882,funciona
South Africa,Probe 7404,funciona
Morocco,Probe 1006594,funciona
Chile,Probe 30100,funciona
Mexico,Probe 6420,funciona
Canada,Probe 52002,funciona
Taiwan,Probe 61304,funciona
Philippines,Probe 65977,funciona
India,Probe 1010721,funciona
Finland,Probe 10638,não responde
Ireland,Probe 1000929,funciona
Bulgaria,Probe 1010523,funciona
Australia,Probe 1003179,funciona
New Zealand,Probe 1009345,funciona
New Caledonia,Probe 7018,funciona
Poland,Probe 1009548,funciona